,train_loss,val_loss,train_r_square,val_r_square
0,0.04573573757360127,0.04815752116533426,0.4440169334411621,0.40698933601379395
1,0.02824482615791299,0.03109436768751878,0.6566438376903534,0.6170958280563354
2,0.027263913010507065,0.031439090004334085,0.6685682535171509,0.6163948178291321
3,0.024922127225601734,0.029234647894134887,0.6970360279083252,0.6409474909305573
4,0.02425821424286983,0.027753294373934086,0.7051068246364594,0.6591127216815948
5,0.023946213911802787,0.029123621777846262,0.7088996171951294,0.6437516510486603
6,0.029208248821536296,0.033308399841189384,0.6449320912361145,0.5910809934139252
7,0.02578065460216878,0.029897489943183385,0.6865993738174438,0.6342563629150391
8,0.023442192211142045,0.028000904963566706,0.7150267362594604,0.6568209528923035
9,0.032443296377012876,0.03654504767977274,0.6056054830551147,0.5500973165035248
10,0.02629812391295197,0.030414904825962506,0.6803088188171387,0.6295294165611267
11,0.033529447642188084,0.037206215354112476,0.592401772737503,0.5445488095283508
