,train_loss,val_loss,train_r_square,val_r_square
0,0.08520502990423726,0.092131063915216,-0.04507911205291748,-0.1177821159362793
1,0.042518633734529396,0.046701232401224285,0.4784892797470093,0.43418288230895996
2,0.036081064719385304,0.04079575091600418,0.5574490129947662,0.5037609338760376
3,0.031192235440620917,0.03746108080332096,0.617412805557251,0.5442679822444916
4,0.02803920420255455,0.03467881894455506,0.6560861766338348,0.5777987837791443
5,0.0243212923662841,0.03188990314419453,0.7016881108283997,0.6117202043533325
6,0.02244877346512403,0.030327315657184675,0.724655419588089,0.6304672658443451
7,0.021574930148435575,0.030081546650483057,0.7353734970092773,0.6345333755016327
8,0.01911505953961898,0.028185940849093292,0.765544980764389,0.6574406921863556
9,0.018259979940497027,0.027192530866998892,0.7760328948497772,0.6686350703239441
10,0.01743137748051567,0.027260092445291005,0.7861960977315903,0.6665661334991455
11,0.016113651857290624,0.026113512854163464,0.8023586124181747,0.6830652952194214
12,0.014205400094503376,0.024845934831179105,0.8257642239332199,0.6970402598381042
13,0.014228456800207874,0.02506366687325331,0.8254813998937607,0.6953594386577606
14,0.012283838362324283,0.023466755277835406,0.8493330478668213,0.7141217887401581
15,0.012108850016301204,0.023568927095486567,0.8514793515205383,0.713811069726944
16,0.010926417415479416,0.022794817502682026,0.8659824430942535,0.7222595512866974
17,0.01101539246170654,0.023218905553221703,0.8648911416530609,0.7179628014564514
18,0.009331314135484662,0.021948133093806412,0.8855471163988113,0.7327589094638824
19,0.00867992752056739,0.021719843005904786,0.8935366794466972,0.7362626492977142
20,0.008229618639151004,0.020993742805260878,0.8990599364042282,0.7442982494831085
21,0.008377889959557634,0.021658644223442443,0.8972413092851639,0.7366710901260376
22,0.007851296457873308,0.02121191514799228,0.9037002325057983,0.7426798641681671
23,0.008124134511578129,0.021808829588385727,0.9003537446260452,0.7365984916687012
24,0.007145654231659727,0.020904117335493747,0.9123552516102791,0.7464212477207184
25,0.007481044522358984,0.02134383054306874,0.9082415327429771,0.7407683432102203
26,0.006439522286962132,0.0202546942119415,0.9210162833333015,0.7538926899433136
27,0.0064170056508456915,0.020630567119671747,0.9212924614548683,0.7493407130241394
28,0.006134257352849478,0.02005515476832023,0.9247604981064796,0.75612673163414
29,0.006129284100347024,0.020390464136233695,0.9248214960098267,0.7515883147716522
30,0.006224814375749018,0.02104422736626405,0.9236497730016708,0.7435507774353027
31,0.005168846471537718,0.01997366060431187,0.9366017058491707,0.7572605460882187
32,0.005404206024728677,0.02007345439722905,0.9337149113416672,0.7560312449932098
33,0.00486820122063973,0.019469395136603944,0.9402892626821995,0.7629867792129517
34,0.005373221492338075,0.019906747083251294,0.9340949580073357,0.7578188180923462
35,0.0048804142852762935,0.019561664416239813,0.9401394724845886,0.7624342143535614
36,0.00451630275687061,0.01933729748886365,0.9446054548025131,0.764857605099678
37,0.004476611636021189,0.019147500968896426,0.9450922906398773,0.7669625580310822
38,0.004500096600011066,0.019610651983664587,0.944804236292839,0.7607501298189163
39,0.0038570687842560073,0.01891362523803344,0.9526912681758404,0.7701191455125809
40,0.004012339567023372,0.019278442630401023,0.9507868029177189,0.7653015404939651
41,0.0039260939329739675,0.01877293477837856,0.9518446438014507,0.77152019739151
42,0.0035994600529456276,0.01900998603266019,0.955850962549448,0.7688539922237396
43,0.004010719995884234,0.01904192645675861,0.9508066587150097,0.7673497647047043
44,0.003374651192006688,0.01847594317335349,0.9586083441972733,0.7754820585250854
