,train_loss,val_loss,train_r_square,val_r_square
0,0.037482800680746886,0.04004148250589004,0.5443430840969086,0.5095683634281158
1,0.036202697811392966,0.038216620683670044,0.5599045753479004,0.5296618044376373
2,0.028594379407840636,0.031180876665390454,0.6523945927619934,0.6172687709331512
3,0.029727611336195225,0.032722896681382105,0.6386184692382812,0.5999497175216675
4,0.026653898799517736,0.0300946906208992,0.6759839057922363,0.6317574381828308
5,0.024444045033305883,0.028625561784093197,0.7028477787971497,0.6487624049186707
6,0.022686675212199463,0.02712883255802668,0.7242110967636108,0.6669746041297913
7,0.020042447727835422,0.025629852826778706,0.7563554644584656,0.6861441433429718
8,0.017640185700776766,0.02431125150850186,0.7855584025382996,0.7025676667690277
9,0.019419136863712428,0.02610197949867982,0.7639327347278595,0.6805264949798584
10,0.0158210239009128,0.022868711644640334,0.8076729029417038,0.7204025685787201
11,0.015836124502235864,0.023661130036299046,0.8074893206357956,0.7090781927108765
12,0.014937531330674736,0.023046459859380357,0.8184129744768143,0.7168770134449005
13,0.015063564118168076,0.024221106647298887,0.8168808966875076,0.7025789618492126
