,train_loss,val_loss,train_acc,val_acc
0,0.374683262279191,0.395301484144651,0.8335382296954315,0.822493654822335
1,0.3531754281995865,0.37013205198141247,0.8487071700507615,0.8342322335025381
2,0.29907585582152235,0.32845208736566395,0.8761698921319797,0.8596129441624365
3,0.28383670422026347,0.3129880153215848,0.8808692893401016,0.8657201776649747
4,0.2203506576606465,0.27696017347849333,0.9105329949238579,0.8834866751269036
5,0.20323111703099334,0.26287410809443545,0.9202688769035533,0.8915767766497462
6,0.19663440462598947,0.26077432471972245,0.9216370558375635,0.8933217005076142
7,0.18064470014293788,0.2594667054139651,0.9281012055837563,0.897128807106599
8,0.1522697542940602,0.24485944211483002,0.9380750317258884,0.9018876903553299
9,0.16988286529171284,0.26649286311406356,0.9332170050761421,0.8923699238578681
10,0.1325101520544684,0.23094223554317767,0.9497144670050761,0.9083121827411168
